,,v1,v2,v3
65,0.18,"אז אם אנחנו לא תחת מעצר,
אז אתם חייבים לשחרר אותנו.","אז אם אין לנו על מה להיעצר,
אז עליכם להשיב לנו את החירות.","אז אם אנחנו לא מוחזקים תחת מעצר,
אז עליכם לאפשר לנו ללכת."
65,0.71,"אז אם אנחנו לא תחת מעצר,
אז אתם חייבים לשחרר אותנו.","אז אם אנחנו לא עצורות,
אז אתם צריכים לתת לנו ללכת.","ואם אנחנו לא תחת מעצר,
אז עליכם לשחרר אותנו."
65,0.43,"אז אם אנחנו לא תחת מעצר,
אז אתם חייבים לשחרר אותנו.","אז אם אנחנו לא במעצר,
אתם צריכים לתת לנו ללכת.","אם אין אנו עצורים,
אז עליכם להשיב לנו את חירותנו."
66,0.18,"והאות מהרדאר
הוקם מחדש.","והסיגנל מהרדאר
חודש.","ואותות הרדאר
הוקמו מחדש."
66,0.71,"והסיגנל מהמכ""ם
הוקם.","והאות מהרדאר
הוקם.","ואותות המכ""ם
נמצאו."
66,0.43,"וסיגנל הרדאר
הופעל.","והקליטה ברדאר
נוצרה.","ואות רדאר
הוקם."
67,0.18,"נשותי וגבריי,","גבירותיי ורבותיי,","אנשים יקרים,"
67,0.71,"נשים וגברים,","גבירותי ורבותי,","אנשים יקרים,"
67,0.43,"גבירותיי ורבותיי,","אנשים יקרים,","לכל הנוכחים,"
68,0.18,"אם כבר הגשתם את העדויות שלכם,
אתם חופשיים ללכת.","אם כבר מסרתם את התצהירים שלכם,
אתם משוחררים לדרככם.","אם סיימתם לתת את ההצהרות שלכם,
אתם יכולים לעזוב."
68,0.71,"אם כבר סיפרתם את כל מה שלכם,
אתם יכולים לעזוב.","אם כבר הגשתם את העדויות שלכם,
אתם חופשיים ללכת.","אם כבר דיברתם,
אתם משוחררים."
68,0.43,"אם כבר הגשתם את העדויות שלכם,
אתם חופשיים ללכת.","אם הגשתם את הדיווחים שלכם,
אתם משוחררים לדרככם.","אם סיימתם לתת את ההצהרות שלכם,
אתם יכולים לצאת."
69,0.18,"אולם, התרחשויות
שמסביב לטיסה 828","עם זאת, האירועים
שקשורים לטיסה 828","בכל זאת, מה שקרה
בטיסה 828"
69,0.71,"בכל זאת, מה שקרה
עם טיסה 828","עם זאת, האירועים
שקרו בטיסה 828","אבל, התרחשויות
בטיסה 828"
69,0.43,"עם זאת, האירועים
הקשורים לטיסה 828","אולם, המקרים
שקשורים לטיסה 828","בכל זאת, התרחשויות
שסביב טיסה 828"
70,0.18,"הם עניין
של ביטחון לאומי.","מהווים עניין
של ביטחון לאומי.","נחשבים לעניין
של ביטחון המדינה."
70,0.71,"זו סוגיה
של ביטחון לאומי.","נחשבות לעניין
של ביטחון המדינה.","הן עניין
של ביטחון לאומי."
70,0.43,"הם עניין
של ביטחון לאומי.","נחשבים לסוגיה
של ביטחון המדינה.","מהווים עניין
של אבטחה לאומית."
71,0.18,"אתם מתבקשים לשמור
על צנזורה מדיה מוחלטת.","אתם מוזהרים לא לדבר
עם התקשורת בשום פנים ואופן.","נדרש מכם להימנע
מכל פרסום בתקשורת."
71,0.71,"נא להימנע
מלדבר עם התקשורת.","אתם מתבקשים לשמור
על חסימת תקשורת מוחלטת.","מוטל עליכם לשמור
על חרם תקשורתי."
71,0.43,"אתם מתבקשים לשמור
על צנזורה מדיה מוחלטת.","נדרש מכם להימנע
מלדבר עם התקשורת.","מוטלת עליכם החובה
לא לחשוף דבר לתקשורת."
72,0.18,"אל תדברו על הנושא
עם אף אחד.","שמרו את העניין הזה
לעצמכם בלבד.","הימנעו מלשתף את הסיפור
עם אחרים."
72,0.71,"אל תדברו על הנושא
עם אף אחד.","שמרו את הסיפור הזה
לעצמכם.","הנושא הזה
לא לשיחה עם אף אחד."
72,0.43,"הנושא הזה
לא לשיחה עם איש.","אל תדברו על הנושא
עם אף אחד.","אסור לכם לשתף פעולה
על זה עם מישהו."
73,0.18,"לא עם כתבים,
לא עם משפחות -- אף אחד.","לא עם עיתונאים,
ולא עם המשפחה שלכם -- שום אדם.","לא לדבר עם עיתונאים,
לא עם בני משפחה -- אף אחד."
73,0.71,"לא לשתף כלל,
לא עם עיתונאים ולא עם המשפחה שלכם.","לא לדבר עם עיתונאים,
ולא אפילו עם המשפחה שלכם - עם אף אחד.","לא עם כתבים,
לא עם משפחותיכם - עם אף אחד."
73,0.43,"לא עם כתבים,
ולא עם בני משפחתכם - עם אף אחד.","לא עם עיתונאים,
לא עם המשפחה שלכם - אף אחד.","לא עם חוקרים,
לא עם קרוביכם - כלום."
74,0.18,"היית יכולה לשחק את קלף השוטרת
לפני שמונה שעות.","יכולת להוציא את הקלף של המשטרה
לפני שמונה שעות.","היית יכולה להשתמש בזהות המשטרתית שלך
לפני שמונה שעות."
74,0.71,"היית מסוגלת להתערב כשוטרת
הרבה לפני.","יכולת למשוך את הקלף המשטרתי
הרבה זמן לפני זה.","היית יכולה להשתמש בקלף השוטר
לפני שמונה שעות."
74,0.43,"יכולת לשחק את קלף השוטר
לפני שמונה שעות.","היית יכולה לתת את הקלף של השוטרת
מזמן.","היית יכולה להוציא את קלף המשטרה
הרבה זמן לפני."
75,0.18,"אה, אתה מוזמן.","אוה, אתם מוזמנים.","אה, את מוזמנת."
75,0.71,"אוקיי, בשמחה.","אה, אתה מוזמן.","אה, את מוזמנת."
75,0.43,"אה, אתה מוזמן.","אה, אתם מוזמנים.","אה, את מוזמנת."
76,0.18,אני רוצה עיניים על כולם.,אני רוצה מישהו שישגיח על כולם.,אני רוצה שיהיה מעקב אחרי כולם.
76,0.71,אני רוצה עיניים על כולם.,אני רוצה שנשמור עליהם.,אני רוצה מעקב אחרי כולם.
76,0.43,אני רוצה עיניים על כולם.,אני רוצה מעקב אחרי כולם.,אני רוצה מישהו שישגיח על כולם.
77,0.18,♪♪,,
77,0.71,♪♪,,
77,0.43,♪♪,,
78,0.18,♪♪,,
78,0.71,♪♪,,
78,0.43,♪♪,,
79,0.18,תוריד אותי במשטרה?,תשאירי אותי במשטרה?,תורידי אותי במשטרה?
79,0.71,נוח לך להוריד אותי בתחנה?,תורידי אותי בתחנה?,תוריד אותי בתחנה?
79,0.43,תוריד אותי במשטרה?,תורידי אותי במשטרה?,תורידו אותי במשטרה?
80,0.18,"כן, אחרי שנעבור בבית.","אוקיי, אחרי שנזנק לבית.","בטח, אחרי שנקפוץ הביתה."
80,0.71,"כן, אחרי שנעבור בבית.","אוקיי, אחרי שנזנק לבית.","בטח, אבל קודם נדלג לבית."
80,0.43,"כן, אחרי שנעבור בבית.","כן, אחרי שנזרום לבית.","כן, אחרי שנסתובב בבית."
81,0.18,גרייס בטח מתפרקת מדאגה.,גרייס חייבת להיות משוגעת מדאגה.,גרייס איבדה את זה מדאגה.
81,0.71,בטח שגרייס לא נותנת לה שקט.,גרייס בטח מתוסכלת מהחיים.,גרייס בטח דואגת מאוד.
81,0.43,גרייס ודאי מודאגת מאוד.,גרייס חייבת להיות מודאגת מאוד.,גרייס בטח מתה מדאגה.
82,0.18,"אני איקח את הרכבת, דובי.","אני אטוס על הרכבת, אבא דוב.","אני עולה על הרכבת, פאפא."
82,0.71,"אני איקח את הרכבת, דובי.","אני ברכבת, אבא דוב.","אני עולה על הרכבת, דוב שלי."
82,0.43,"אני על הרכבת, אבא דוב.","אני איקח את הרכבת, אבא דוב.","אני אטוס על הרכבת, אבא דוב."
83,0.18,"הי,","היי,",
83,0.71,"הי,","היי,",
83,0.43,"היי,",,
84,0.18,לא לספר לשום נפש.,שום דיבור לאף אחד.,אף מילה לאף אחד.
84,0.71,לא לפתוח פה לשום אחד.,שום דבר לא לספר לאיש.,אף מילה לאף אחד.
84,0.43,שום דיבור לאף אחד.,לא לספר לשום אחד.,אף מילה לאף אחד.
85,0.18,בגלל שגבר ה-NSA אמר ככה?,כי החבר'ה מה-NSA אמרו?,כי איש ה-NSA אמר?
85,0.71,בגלל שחבר'ה מה-NSA אמרו?,כי איש ה-NSA אמר ככה?,מפני שהבחור מה-NSA אמר?
85,0.43,כי זה מה שאיש ה-NSA ציווה?,בגלל שאיש ה-NSA אמר?,כי איש ה-NSA אמר ככה?
86,0.18,"לא, בגלל שזה יותר מוגן כך. אנחנו בבירור קורבנות פה.","לא, מכיוון שזה יותר מאובטח ככה. אנחנו כבשי קורבן, זה ברור.","לא, כי זה יותר בטוח ככה. ברור שאנחנו כבשי קורבן פה."
86,0.71,"לא, כי זה מסוכן פחות. ברור שהפכנו לקורבנות.","לא, כי זה יותר בטוח ככה. אנחנו בבירור קורבנות תופעה כאן.","לא, כי זה הדבר החכם לעשות. אנחנו כבר סממנים כאן."
86,0.43,"לא, משום שזה יותר בטוח כך. אנחנו בבירור קורבנות פה.","לא, כי זה יותר בטוח ככה. ברור שאנחנו קורבנות נפגעים פה.","לא, כי זה יותר מבטיח ככה. מובן שאנחנו הקורבנות פה."
87,0.18,"ועד שנגלה מה היה לנו, אני לא סומך על איש.","ועד שנבין מה קרה לנו, אני לא סומך על אף אחד.","ועד שנפענח מה עבר עלינו, אני לא מאמין לשום אחד."
87,0.71,"כל עוד לא נוצא מהסיפור הזה, אני לא בוטח בשום אחד.","ועד שנפענח את החידה שלנו, אין מי שאני סומך עליו.","ועד שנבין מה קרה לנו, אני לא סומך על אף אחד."
87,0.43,"ועד שנפענח מה עבר עלינו, אני לא מאמין לאף אחד.","ועד שנבין מה קרה לנו, אני לא סומך על אף אחד.","ועד שנגלה מה היה לנו, אני לא סומך על שום אחד."
88,0.18,"-איך זה היה לך?
-גברתי, גברתי.","-מה הייתה התחושה?
-אדוני, אדוני.","-איך זה הרגיש?
-סר, סר."
88,0.71,"מה הייתה ההרגשה? -אדוני, אדוני.","איך זה הרגיש? -גבר, גבר.","איך זה היה לך? -סר, סר."
88,0.43,"-איך זה הרגיש?
-אדוני, אדוני.","-מה היה התחושה?
-גבר, גבר.","-איך זה הסתובב בפנים?
-סר, סר."
89,0.18,"היית באותו מטוס.
-חבר שלי. חבר שלי.","את באותו מטוס.
-הידיד שלי. הידיד שלי.","אתה היית על הטיסה הזו.
-החבר שלי. החבר שלי."
89,0.71,"אתה מהטיסה, נכון? -החבר שלי, החבר שלי.","אתה היית על הפלייט, נכון? -רעי, רעי.","היית במטוס הזה. -חבר שלי, חבר שלי."
89,0.43,"אתה היית במטוס ההוא.
-החבר שלי. החבר שלי.","היית באותו מטוס.
-חבר שלי. חבר שלי.","אתה היית על הטיסה הזו.
-הידיד שלי. הידיד שלי."
90,0.43,"חברה שלי, גם את שוטרת כמו האישה?","חבר שלי, גם אתה שוטר כמו האישה?","חבר'ה, אתם גם שוטרים כמו האישה?"
90,0.18,"חברי, אתה במקרה שוטר כמו האישה?","אחי, אתה גם בצוות של המשטרה כמו האישה?","חבר שלי, גם אתה שוטר כמו האישה?"
90,0.71,"חבר, אתה גם מהמשטרה כמו האישה?","חבר שלי, גם אתה שוטר כמו האישה?","חברי, אתה גם במשטרה כמו האישה?"
91,0.43,"אה, אה, לא. אולי תוכלו לעזור בכל אופן.","אה, אה, לא. אולי תוכל לעזור בכל זאת.","אה, אה, לא. אולי תוכלי לעזור בכל מקרה."
91,0.18,"לא, לא. אבל אולי תוכל לתת יד בכל מקרה.","אה, אה, לא. אולי תוכל לעזור בכל זאת.","אה, לא. אבל אולי עדיין תוכל לעזור."
91,0.71,"אה, אה, לא. אולי עדיין תוכל לסייע.","אה, אה, לא. אפשר שתעזור בכל מקרה.","אה, אה, לא. אולי תוכל לעזור בכל זאת."
92,0.43,מה אתה יכול לספר לנו על מה שקרה?,מה ניתן לספר לנו על מה שקרה?,מה את יכולה לספר לנו על מה שקרה?
